Time_index,Season,Month,Unemployment_rate,Accidents
1.0,b'Winter',b'January',8.0,40.0
2.0,b'Winter',b'February',8.2,39.0
3.0,b'Spring',b'March',8.0,32.0
4.0,b'Spring',b'April',8.75,27.0
5.0,b'Spring',b'May',7.25,31.0
6.0,b'Summer',b'June',7.25,30.0
7.0,b'Summer',b'July',7.75,23.0
8.0,b'Summer',b'August',7.5,25.0
9.0,b'Autumn',b'September',7.25,24.0
10.0,b'Autumn',b'October',7.25,35.0
11.0,b'Autumn',b'November',8.0,38.0
12.0,b'Winter',b'December',8.5,37.0
13.0,b'Winter',b'January',10.25,22.0
14.0,b'Winter',b'February',11.25,28.0
15.0,b'Spring',b'March',11.0,22.0
16.0,b'Spring',b'April',12.5,28.0
17.0,b'Spring',b'May',14.0,20.0
18.0,b'Summer',b'June',14.0,25.0
19.0,b'Summer',b'July',14.25,24.0
20.0,b'Summer',b'August',12.75,22.0
21.0,b'Autumn',b'September',12.0,20.0
22.0,b'Autumn',b'October',12.25,28.0
23.0,b'Autumn',b'November',12.5,24.0
24.0,b'Winter',b'December',12.25,43.0
25.0,b'Winter',b'January',14.0,29.0
26.0,b'Winter',b'February',14.25,28.0
27.0,b'Spring',b'March',13.25,19.0
28.0,b'Spring',b'April',12.25,25.0
29.0,b'Spring',b'May',11.5,21.0
30.0,b'Summer',b'June',11.0,30.0
31.0,b'Summer',b'July',12.0,23.0
32.0,b'Summer',b'August',11.0,24.0
33.0,b'Autumn',b'September',10.75,28.0
34.0,b'Autumn',b'October',11.75,26.0
35.0,b'Autumn',b'November',12.0,23.0
36.0,b'Winter',b'December',14.5,32.0
37.0,b'Winter',b'January',16.0,29.0
38.0,b'Winter',b'February',16.25,29.0
39.0,b'Spring',b'March',17.0,20.0
40.0,b'Spring',b'April',15.5,28.0
41.0,b'Spring',b'May',14.25,25.0
42.0,b'Summer',b'June',14.25,21.0
43.0,b'Summer',b'July',14.75,16.0
44.0,b'Summer',b'August',14.5,19.0
45.0,b'Autumn',b'September',14.5,19.0
46.0,b'Autumn',b'October',15.0,27.0
47.0,b'Autumn',b'November',16.5,29.0
48.0,b'Winter',b'December',17.25,26.0
49.0,b'Winter',b'January',17.0,24.0
50.0,b'Winter',b'February',16.5,20.0
51.0,b'Spring',b'March',17.0,22.0
52.0,b'Spring',b'April',15.5,21.0
53.0,b'Spring',b'May',14.75,25.0
54.0,b'Summer',b'June',14.5,24.0
55.0,b'Summer',b'July',13.25,25.0
56.0,b'Summer',b'August',13.5,26.0
57.0,b'Autumn',b'September',12.5,26.0
58.0,b'Autumn',b'October',12.75,31.0
59.0,b'Autumn',b'November',11.75,27.0
60.0,b'Winter',b'December',12.0,39.0
61.0,b'Winter',b'January',13.0,27.0
62.0,b'Winter',b'February',12.75,22.0
63.0,b'Spring',b'March',12.5,24.0
64.0,b'Spring',b'April',11.25,27.0
65.0,b'Spring',b'May',11.25,24.0
66.0,b'Summer',b'June',11.25,33.0
67.0,b'Summer',b'July',11.25,27.0
68.0,b'Summer',b'August',10.5,30.0
69.0,b'Autumn',b'September',10.0,23.0
70.0,b'Autumn',b'October',10.25,29.0
71.0,b'Autumn',b'November',11.0,33.0
72.0,b'Winter',b'December',10.75,40.0
73.0,b'Winter',b'January',12.5,34.0
74.0,b'Winter',b'February',10.5,31.0
75.0,b'Spring',b'March',10.75,22.0
76.0,b'Spring',b'April',10.5,24.0
77.0,b'Spring',b'May',10.0,35.0
78.0,b'Summer',b'June',10.5,24.0
79.0,b'Summer',b'July',11.0,29.0
80.0,b'Summer',b'August',10.0,25.0
81.0,b'Autumn',b'September',10.0,28.0
82.0,b'Autumn',b'October',9.75,34.0
83.0,b'Autumn',b'November',9.0,46.0
84.0,b'Winter',b'December',7.75,40.0
85.0,b'Winter',b'January',9.5,32.0
86.0,b'Winter',b'February',9.5,34.0
87.0,b'Spring',b'March',10.0,35.0
88.0,b'Spring',b'April',9.25,37.0
89.0,b'Spring',b'May',9.5,36.0
90.0,b'Summer',b'June',9.5,27.0
91.0,b'Summer',b'July',9.25,26.0
92.0,b'Summer',b'August',8.0,31.0
93.0,b'Autumn',b'September',8.5,39.0
94.0,b'Autumn',b'October',8.25,35.0
95.0,b'Autumn',b'November',8.25,45.0
96.0,b'Winter',b'December',7.75,35.0
97.0,b'Winter',b'January',8.0,46.0
98.0,b'Winter',b'February',9.0,26.0
99.0,b'Spring',b'March',8.5,32.0
100.0,b'Spring',b'April',8.75,27.0
101.0,b'Spring',b'May',8.25,30.0
102.0,b'Summer',b'June',9.0,36.0
103.0,b'Summer',b'July',8.75,26.0
104.0,b'Summer',b'August',8.5,33.0
105.0,b'Autumn',b'September',7.5,34.0
106.0,b'Autumn',b'October',7.0,39.0
107.0,b'Autumn',b'November',7.5,36.0
108.0,b'Winter',b'December',8.5,39.0
