,similarityloss,time,roc
0,0.7702185,2004.6531,0.9157101
1,0.6679666,4033.3245,0.9129974
2,0.6534997,5926.324,0.9153364
3,0.6301051,7894.246,0.92087054
4,0.62563765,9938.809,0.92050153
5,0.61375964,11935.777,0.9207402
6,0.60502535,13875.152,0.9223761
7,0.5993943,15915.074,0.9209127
8,0.59812176,17901.371,0.9215358
9,0.5972171,19838.074,0.92237216
10,0.59142315,21801.512,0.92367536
11,0.5798418,23799.184,0.9269099
12,0.56424916,25770.59,0.9290752
13,0.5500306,27799.793,0.9320919
14,0.54012364,29797.137,0.93309176
